mode,time,x,y,theta,linear_vel,angular_vel,pos_err,ang_err,err_it,err_ct,leader_x,leader_y,hdg_to_leader
3,23.001099918,3.032351597483633,12.564913296818478,3.695734691097993,0.28376590017725667,0.09423414735945723,1.4188295008862832,0.09423414735945723,0.0,0.0,-2.032995278119096,8.685520281345202,-2.4880123938315712
3,23.101406057,2.9916209411179624,12.564935979439763,3.6979163526629857,0.2760474777794308,0.09725656068502886,1.3802373888971537,0.09725656068502886,0.0,0.0,-2.0330216066975786,8.683057080934239,-2.4838036753235353
3,23.20122416,2.959036416527903,12.564954126168862,3.7022796757929717,0.2698978937848619,0.0971019560630797,1.3494894689243093,0.0971019560630797,0.0,0.0,-2.033042669309125,8.681086520605467,-2.48040728495385
3,23.2991377,2.9329687973583334,12.564968643236107,3.707733829705454,0.2649945640483393,0.09504419252028207,1.3249728202416966,0.09504419252028207,0.0,0.0,-2.0330595199008408,8.679510072500467,-2.4776711810838723
3,23.399044335,2.9121147015202,12.564980256731882,3.71209715283544,0.26108248029576603,0.09341697326027365,1.3054124014788302,0.09341697326027365,0.0,0.0,-2.033073000122974,8.678248913542415,-2.4754700579043374
3,23.50136679,2.8954314248496935,12.56498954737049,3.717551306747922,0.25795964861539655,0.09016394252732685,1.2897982430769828,0.09016394252732685,0.0,0.0,-2.03308378455192,8.677239986850026,-2.4737012820818216
3,23.601333658,2.8820848040157663,12.564996980513442,3.7240962914429008,0.25546579108520645,0.08538773365486385,1.2773289554260323,0.08538773365486385,0.0,0.0,-2.033092412095076,8.676432845338098,-2.4722811973651755
3,23.699425669,2.8820848040157663,12.564996980513442,3.729550445355383,0.2534735433848949,0.08135366445902825,1.2673677169244746,0.08135366445902825,0.0,0.0,-2.06845804305959,8.631309161741045,-2.4701547535895387
3,23.799837452,2.767397101602455,12.56500768382845,3.735004599267865,0.2646228581879628,0.0780259543221824,1.323114290939814,0.0780259543221824,0.0,0.0,-2.0967505483336786,8.595210215179439,-2.4570908908860964
3,23.900293708,2.7266192525254698,12.56501148967981,3.7371862608328583,0.2556946173727321,0.08890815546063102,1.2784730868636602,0.08890815546063102,0.0,0.0,-2.1193845523017107,8.566331057930151,-2.4517033147689022
